question,answer
"What is Python?","Python is a high-level interpreted programming language known for its readability and simplicity."
"How do I install Python?","You can download Python from python.org and follow the installation instructions for your operating system."
"What is a variable?","A variable is a named location in memory used to store data during program execution."
"What is a function?","A function is a reusable block of code that performs a specific task and can take inputs and return outputs."
"What is an array?","An array is a data structure that stores multiple values of the same type in contiguous memory."
"What is a list in Python?","A list is a mutable ordered collection of items that can store different data types in Python."
"What is a dictionary in Python?","A dictionary is a collection of key-value pairs used to store data with unique identifiers."
"What is object-oriented programming?","Object-oriented programming (OOP) is a paradigm based on objects, classes, inheritance, and encapsulation."
"What is inheritance in OOP?","Inheritance allows a class to inherit attributes and methods from another class."
"What is polymorphism?","Polymorphism allows objects of different classes to be treated as objects of a common superclass."
"What is encapsulation?","Encapsulation is the practice of hiding internal data and exposing only necessary functionality."
"What is abstraction?","Abstraction means showing only essential features and hiding unnecessary details."
"What is machine learning?","Machine learning is a field of AI that allows computers to learn patterns from data."
"How do I learn machine learning?","Start with Python then learn NumPy, Pandas, Matplotlib, Scikit-Learn, and basic math."
"What is deep learning?","Deep learning is a subset of machine learning based on neural networks with many layers."
"What is TensorFlow?","TensorFlow is an open-source deep learning framework developed by Google."
"What is PyTorch?","PyTorch is a deep learning library developed by Facebook known for flexibility and ease of use."
"What is NumPy?","NumPy is a Python library used for numerical computing and working with arrays."
"What is Pandas?","Pandas is a Python library used for data manipulation and analysis."
"What is Scikit-Learn?","Scikit-Learn is a machine learning library for Python that provides simple and efficient tools for data mining."
"What is a neural network?","A neural network is a computing system inspired by the structure of the human brain."
"What is overfitting?","Overfitting occurs when a model learns the training data too well and fails to generalize to unseen data."
"What is underfitting?","Underfitting happens when a model is too simple and fails to capture the underlying patterns in data."
"What is a dataset?","A dataset is a collection of data used for training or testing machine learning models."
"What is supervised learning?","Supervised learning is when the model is trained on labeled data."
"What is unsupervised learning?","Unsupervised learning is when the model finds patterns in unlabeled data."
"What is reinforcement learning?","Reinforcement learning is when an agent learns through rewards and penalties by interacting with an environment."
"How do I create a chatbot?","You can create a chatbot using TF-IDF, retrieval models, or deep learning techniques like Seq2Seq or Transformers."
"What is Git?","Git is a version control system used to track and manage changes in source code."
"What is GitHub?","GitHub is a platform for hosting, sharing, and collaborating on Git repositories."
"How do I create a virtual environment in Python?","Use 'python -m venv env' and activate it based on your operating system."
"What is a loop?","A loop is a programming structure that repeats a block of code multiple times."
"What is a for loop?","A for loop iterates over a sequence such as a list, string, or range."
"What is a while loop?","A while loop runs as long as a specified condition remains true."
"What is an API?","An API is an interface that allows different software applications to communicate with each other."
"What is JSON?","JSON is a lightweight data format used to store and exchange structured data."
"What is a compiler?","A compiler translates source code into machine code before execution."
"What is an interpreter?","An interpreter executes code line by line during runtime."
"What is debugging?","Debugging is the process of finding and fixing errors in code."
"What is an exception?","An exception is an error that occurs during program execution and can be handled using try/except blocks."
"How do I handle errors in Python?","Use try/except blocks to catch and manage exceptions."
"What is recursion?","Recursion is a programming technique where a function calls itself."
"What is Big O notation?","Big O notation describes the time or space complexity of an algorithm."
"What is a framework?","A framework is a pre-written structure that helps developers build applications efficiently."
"What is Flask?","Flask is a lightweight Python web framework for building web applications."
"What is Django?","Django is a high-level Python web framework for building scalable and secure web applications."
"What is HTML?","HTML is the standard markup language used to structure content on the web."
"What is CSS?","CSS is a styling language used to control the appearance of web pages."
"What is JavaScript?","JavaScript is a programming language used to create dynamic and interactive web content."

"What is Unity?","Unity is a popular game engine used to create 2D and 3D games across multiple platforms."
"What is Unreal Engine?","Unreal Engine is a high-end game engine known for powerful graphics and AAA-quality visuals."
"What language does Unity use?","Unity primarily uses C# for scripting and game logic."
"What language does Unreal Engine use?","Unreal Engine uses C++ and Blueprints for visual scripting."
"What is a game engine?","A game engine is software that provides tools and features needed to build video games."
"What is a prefab in Unity?","A prefab is a reusable GameObject template that can be instantiated multiple times."
"What is a GameObject in Unity?","A GameObject is the basic entity in Unity that can represent characters, props, or environments."
"What is a component in Unity?","Components are scripts or features attached to GameObjects to give them behavior."
"What is a Rigidbody?","A Rigidbody enables physics simulation such as movement, gravity, and collisions."
"What is a Collider?","A collider defines the shape used for detecting collisions in a game."
"What is a trigger collider?","A trigger collider detects intersections without applying physics forces."
"What is an Animator?","An Animator controls character animations using animation states and transitions."
"What is an Animation Clip?","An animation clip defines specific movements or motions for a character or object."
"What is a NavMesh?","A NavMesh allows characters to navigate a map using AI pathfinding."
"What is NavMesh Agent?","A NavMeshAgent is a Unity component that allows objects to navigate the NavMesh."
"What is Raycasting?","Raycasting is used to detect objects by projecting an invisible ray in a direction."
"What is scripting?","Scripting refers to writing code to control game behavior and logic."
"What is deltaTime?","deltaTime is the time that passed since the last frame, used for frame-independent movement."
"What is Update() in Unity?","Update() is called every frame and is used for input and real-time logic."
"What is FixedUpdate()?","FixedUpdate() is used for physics calculations and runs at a fixed interval."
"What is LateUpdate()?","LateUpdate() runs after Update and is often used for camera follow logic."
"What is the difference between Update and FixedUpdate?","Update runs every frame while FixedUpdate runs at fixed physics intervals."
"What is Input.GetAxis()?","Input.GetAxis reads movement input with smoothing, like “Horizontal” or “Vertical”."
"What is Input.GetKey()?","Input.GetKey checks if a specific key is held down."
"What is transform?","transform represents an object's position, rotation, and scale."
"What is a Quaternion?","A Quaternion represents 3D rotation and avoids gimbal lock."
"What is Vector3?","Vector3 is a structure representing 3D coordinates."
"What is Time.timeScale?","timeScale controls the speed of the game; 0 means paused."
"What is Object pooling?","Object pooling reuses objects to improve performance and reduce instantiation costs."
"What is LOD?","LOD (Level of Detail) swaps models based on distance to optimize rendering."
"What is Occlusion Culling?","Occlusion culling hides objects not visible to the camera to improve performance."
"What is a Shader?","A shader is a program that defines how materials are rendered on screen."
"What is a Material?","A material defines the appearance of an object using a shader."
"What is a Texture?","A texture is an image applied to materials to give surfaces detail."
"What is UV mapping?","UV mapping assigns 2D texture coordinates to a 3D model."
"What is a Scene in Unity?","A scene contains game levels, menus, and environments."
"What is Scene Management?","Scene management handles loading and switching between scenes."
"What is Time.deltaTime used for?","It ensures smooth movement regardless of frame rate."
"What is Rigidbody.AddForce()?","It applies force to a Rigidbody for physics-based movement."
"What is a Coroutine?","A coroutine allows execution of code over time without blocking."
"What is yield return?","yield return pauses a coroutine until a condition is met."
"What is StartCoroutine()?","StartCoroutine begins execution of a coroutine."
"What is a ScriptableObject?","A ScriptableObject stores data independently from scene objects."
"What is a build target?","A build target determines the platform the game will run on, such as PC or Android."
"What is post-processing?","Post-processing adds visual effects like bloom, color grading, and depth of field."
"What is an event system?","The event system handles UI and input interactions."
"What is Canvas in Unity?","The Canvas is the root object for UI elements."
"What is RectTransform?","RectTransform is used to position UI elements in 2D space."
"What is a sprite?","A sprite is a 2D image used in 2D games."
"What is a tilemap?","A tilemap is a grid of tiles used to build 2D environments."
"What is a particle system?","A particle system creates visual effects like fire, smoke, and explosions."
"What is Rigidbody2D?","Rigidbody2D enables physics simulation in 2D games."
"What is Collider2D?","Collider2D enables collision detection in 2D games."
"What is an Animator Controller?","An Animator Controller manages animation states and transitions."
"What is a blend tree?","A blend tree blends multiple animations smoothly based on parameters."
"What is AI pathfinding?","AI pathfinding allows agents to navigate environments intelligently."
"What is A* algorithm?","A* is a popular pathfinding algorithm used in games."
"What is game optimization?","Game optimization improves performance by reducing unnecessary rendering or calculations."
"What is VFX?","VFX refers to visual effects such as particles, shaders, and lighting effects."
"What is audio mixing?","Audio mixing combines and adjusts game sound effects and music."
"What is a skybox?","A skybox creates the illusion of a surrounding sky or environment."
"What is a directional light?","A directional light simulates sunlight in a game."
"What is a point light?","A point light emits light from a single point in all directions."
"What is a spotlight?","A spotlight emits light in a cone shape."
"What is ambient light?","Ambient light is global lighting affecting all objects."
"What is physics-based movement?","Movement calculated using physics forces rather than setting positions directly."
"What is kinematic Rigidbody?","A kinematic Rigidbody is controlled by code, not physics forces."
"What is gravity scale?","Gravity scale controls how strongly gravity affects a Rigidbody."
"What is Trigger event?","A trigger event occurs when objects overlap using OnTriggerEnter/Exit."
"What is Collision event?","A collision event occurs when colliders with Rigidbody components make contact."
"What is OnCollisionEnter()?","A method called when an object collides with another."
"What is OnTriggerEnter()?","A method called when an object enters a trigger collider."
"What is multiplayer networking?","Networking allows multiple players to interact in the same game session."
"What is Photon PUN?","Photon PUN is a Unity networking framework for multiplayer games."
"What is dedicated server?","A dedicated server hosts a multiplayer game independent of players."
"What is peer-to-peer networking?","In peer-to-peer, players connect directly to each other."
"What is a hitbox?","A hitbox defines a collision area used to detect hits in combat games."
"What is an animation event?","Animation events trigger custom code during specific animation frames."
"What is blending animations?","Blending animations transitions smoothly from one animation to another."
"What is IK (Inverse Kinematics)?","IK allows bones to move naturally by solving joint positions automatically."
"What is FK (Forward Kinematics)?","FK manually rotates each bone in a skeleton."
"What is a build pipeline?","A build pipeline defines the process of building and packaging the game."
"What is asset bundling?","Asset bundles package assets separately for dynamic loading."
"What is memory management in games?","Memory management ensures the game uses RAM efficiently."
"What is garbage collection?","Garbage collection automatically frees unused memory in managed languages like C#."
"What is frame rate?","Frame rate measures how many frames the game renders per second."
"What is VSync?","VSync synchronizes frame rate with monitor refresh rate to reduce tearing."
"What is GPU instancing?","GPU instancing renders many objects more efficiently by sharing geometry."
"What is batching?","Batching reduces draw calls by grouping objects using similar materials."
"What is profiling?","Profiling analyzes performance to find bottlenecks."
"What is the Unity Profiler?","The Unity Profiler measures CPU, GPU, memory, and rendering performance."

"What is a game loop?","A game loop continuously updates game logic and renders frames."
"What is frame time?","Frame time is the amount of time required to render a single frame."
"What is deltaTime used for?","deltaTime helps achieve consistent movement regardless of frame rate."
"What is a build in Unity?","A build compiles the game into an executable for distribution."
"What is play mode?","Play mode allows developers to test gameplay directly inside the Unity editor."
"What is gizmo in Unity?","Gizmos are visual editor-only markers for debugging and visualization."
"What is a collider mesh?","A collider mesh matches complex 3D geometry for accurate collisions."
"What is a box collider?","A box collider defines collision using a rectangular box shape."
"What is a capsule collider?","A capsule collider is commonly used for player characters."
"What is a sphere collider?","A sphere collider detects collisions using a spherical shape."
"What is terrain in Unity?","Terrain is a Unity feature for creating large outdoor environments."
"What is terrain painting?","Terrain painting allows modifying textures, height, and foliage on terrain."
"What is spline?","A spline is a curve used for paths, roads, or animations."
"What is post-processing stack?","A package providing visual effects like bloom and color correction."
"What is a render pipeline?","A render pipeline controls how graphics are drawn to the screen."
"What is URP?","URP (Universal Render Pipeline) provides optimized graphics for all platforms."
"What is HDRP?","HDRP (High Definition Render Pipeline) provides high-end graphics for powerful hardware."
"What is a lightmap?","Lightmaps store precomputed lighting to improve performance."
"What is baked lighting?","Baked lighting stores static lighting information for faster rendering."
"What is real-time lighting?","Real-time lighting is calculated every frame for dynamic scenes."
"What is global illumination?","Global illumination simulates how light bounces off surfaces."
"What is volumetric lighting?","Volumetric lighting simulates light scattering through particles like fog."
"What is a sky shader?","A sky shader is used to render skies or atmospheric effects."
"What is ambient occlusion?","Ambient occlusion adds shadows in small crevices for realism."
"What is anisotropic filtering?","Anisotropic filtering improves texture quality at steep angles."
"What is anti-aliasing?","Anti-aliasing reduces jagged edges in rendered graphics."
"What is MSAA?","MSAA is a hardware-based anti-aliasing method."
"What is SSAO?","SSAO (Screen Space Ambient Occlusion) adds ambient shadowing based on pixel depth."
"What is bloom?","Bloom makes bright areas glow for a cinematic effect."
"What is motion blur?","Motion blur simulates blur when objects move quickly."
"What is depth of field?","Depth of field simulates camera focus on near or far objects."
"What is chromatic aberration?","Chromatic aberration adds slight RGB separation for stylistic effects."
"What is a sprite atlas?","A sprite atlas packs multiple sprites into one texture to optimize rendering."
"What is a tile palette?","A tile palette contains tiles used for painting tilemaps."
"What is a state machine?","A state machine controls behavior through predefined states."
"What is finite state machine (FSM)?","FSM models AI using states like idle, move, attack."
"What is behavior tree?","Behavior trees structure complex AI behavior hierarchically."
"What is a waypoint system?","A waypoint system guides AI movement using points in the environment."
"What is pathfinding?","Pathfinding determines the best path for AI to reach a target."
"What is level design?","Level design is creating game environments, challenges, and flow."
"What is game balancing?","Balancing ensures fair difficulty, pacing, and player experience."
"What is a cutscene?","A cutscene is a scripted cinematic sequence within a game."
"What is a trigger zone?","A trigger zone activates events when a player enters it."
"What is an inventory system?","An inventory system stores items collected by the player."
"What is a HUD?","HUD (Heads-Up Display) shows player info like health and ammo."
"What is a minimap?","A minimap is a small map showing player location and surroundings."
"What is UI scaling?","UI scaling adapts interface layouts across different screen sizes."
"What is sprite sorting?","Sprite sorting controls drawing order in 2D games."
"What is orthographic camera?","An orthographic camera renders without perspective distortion."
"What is perspective camera?","A perspective camera renders depth and distance realistically."
"What is FOV?","FOV (Field of View) controls the camera's visible angle."
"What is culling mask?","Culling masks define which layers a camera can see."
"What is a singleton?","A singleton ensures only one instance of a class exists."
"What is dependency injection?","Dependency injection provides required components to a script externally."
"What is MVC pattern?","MVC divides code into Model, View, and Controller layers."
"What is event-driven programming?","Event-driven programming reacts to events like input or collisions."
"What is asynchronous programming?","Asynchronous programming runs tasks without blocking the main thread."
"What is coroutine vs thread?","Coroutines run cooperatively inside Unity; threads run independently at OS level."
"What is garbage collection spike?","A GC spike occurs when unused memory is cleared, causing lag."
"What is memory leak?","A memory leak occurs when memory is not released, reducing performance."
"What is addressables?","Addressables manage assets dynamically, improving memory and loading times."
"What is async loading?","Async loading loads assets without freezing gameplay."
"What is scene additive loading?","Additive loading loads multiple scenes simultaneously."
"What is a physics material?","A physics material controls friction and bounciness."
"What is drag in physics?","Drag reduces velocity over time."
"What is angular drag?","Angular drag slows down rotational movement."
"What is mass in Rigidbody?","Mass affects how much force is needed for movement."
"What is force mode?","Force mode controls how AddForce applies force (Impulse, VelocityChange, etc.)."
"What is kinematic motion?","Kinematic motion moves objects without physics simulation."
"What is a hit scan?","Hitscan detects collisions instantly without projectile travel."
"What is projectile motion?","Projectile motion calculates movement using force and gravity."
"What is animation rigging?","Animation rigging provides constraints and advanced animation control."
"What is blend shape?","Blend shapes deform mesh vertices for facial expressions and morphing."
"What is skinning?","Skinning binds mesh vertices to skeleton bones."
"What is weight painting?","Weight painting assigns bone influence over mesh parts."
"What is inverse kinematics?","IK solves bone positions automatically based on a target."
"What is ragdoll physics?","Ragdoll physics simulate realistic character collapse using joints and colliders."
"What is hinge joint?","A hinge joint allows rotation around a single axis."
"What is fixed joint?","A fixed joint locks two objects together."
"What is spring joint?","A spring joint makes objects behave like connected springs."
"What is audio source?","An AudioSource plays 3D or 2D audio clips."
"What is audio listener?","An AudioListener represents the player's ears in the scene."
"What is spatial audio?","Spatial audio simulates 3D sound direction and distance."
"What is reverb zone?","A reverb zone applies audio echo effects in defined areas."
"What is occlusion in audio?","Occlusion muffles sound when objects block its path."
"What is doppler effect?","The Doppler effect changes sound pitch based on movement."
"What is save system?","A save system stores player data for later use."
"What is JSON serialization?","JSON serialization converts data objects into JSON string format."
"What is binary serialization?","Binary serialization saves data in compact binary format."
"What is checkpoint system?","A checkpoint system saves progress at predefined locations."
"What is cutscene timeline?","Unity Timeline creates cinematic sequences with animation and audio tracks."
"What is shader graph?","Shader Graph allows visual shader creation without writing code."
"What is bloom effect?","Bloom enhances bright areas with a soft glow."
"What is FPS counter?","An FPS counter displays the game's frame rate during runtime."
"What is build size optimization?","Build size optimization reduces game file size for distribution."

"What is a tilemap in Unity?","A tilemap is a grid-based system used to create large 2D environments efficiently."
"What is a collider 2D?","A Collider2D is a component used to detect 2D physics collisions."
"What is Rigidbody2D?","Rigidbody2D enables objects to use 2D physics like gravity and forces."
"What is Pixel Perfect Camera?","Pixel Perfect Camera ensures crisp pixel art rendering with no distortion."
"What is a sorting layer?","Sorting layers define 2D render order of sprites."
"What is a pivot point?","A pivot point is the reference origin for translation, rotation, and scaling."
"What is parallax scrolling?","Parallax scrolling creates depth by moving background layers at different speeds."
"What is sprite slicing?","Sprite slicing divides a spritesheet into multiple individual sprites."
"What is a sprite sheet?","A spritesheet is a single image containing multiple animation frames."
"What is 2D animation rigging?","2D animation rigging uses bones to animate 2D characters."
"What is IK for 2D?","IK for 2D enables natural motion by solving limb positions automatically."
"What is tile collision?","Tile collision defines which tiles players can collide with."
"What is a trigger 2D?","A trigger 2D detects overlaps without blocking movement."
"What is Cinemachine?","Cinemachine is Unity's advanced camera system that automates camera behavior."
"What is Virtual Camera?","A virtual camera defines different camera behaviors inside Cinemachine."
"What is damping in Cinemachine?","Damping smooths camera movements and follow behavior."
"What is confiner in Cinemachine?","A confiner limits camera movement within a boundary."
"What is screen shake?","Screen shake is a camera effect used to emphasize explosions or impacts."
"What is camera follow script?","A camera follow script keeps the camera focused on a target object."
"What is orthographic size?","Orthographic size controls zoom level of an orthographic camera."
"What is field of view?","Field of view defines the visible angle of a perspective camera."
"What is animation keyframe?","A keyframe marks a specific position or motion state in animation."
"What is animation curve?","An animation curve defines transitions between keyframes over time."
"What is root motion?","Root motion uses animation movement instead of physics-based motion."
"What is an avatar mask?","An avatar mask controls which body parts animations affect."
"What is retargeting?","Retargeting transfers animations between different character rigs."
"What is timeline in Unity?","Timeline is a sequencer for cutscenes, animation, and audio."
"What is a playable director?","A playable director controls playback of Timeline assets."
"What is a timeline track?","A timeline track controls animations, audio, or scripts."
"What is additive animation?","Additive animation blends extra motion on top of existing animations."
"What is animation event?","An animation event triggers logic at specific points in an animation."
"What is avatar rig?","Avatar rig defines the bone structure for animations."
"What is mecanim?","Mecanim is Unity's animation system for blending and state machines."
"What is ragdoll generator?","A ragdoll generator automatically builds physics-based characters."
"What is cloth simulation?","Cloth simulation creates realistic movement for fabric or hair."
"What is particle collision?","Particle collision detects contact between particles and the world."
"What is particle lifetime?","Particle lifetime defines how long a particle exists before disappearing."
"What is emission rate?","Emission rate controls how many particles spawn over time."
"What is burst emission?","Burst emission generates particles all at once at a specific moment."
"What is GPU particle system?","A GPU particle system uses GPU compute power for massive effects."
"What is sprite mask?","A sprite mask reveals or hides parts of sprites."
"What is 2D light?","2D light adds realistic lighting to 2D scenes with the URP 2D renderer."
"What is shadow caster 2D?","Shadow caster 2D defines shapes that cast shadows in 2D lighting."
"What is normal map?","A normal map adds fake surface detail without adding geometry."
"What is bump map?","A bump map simulates small height variations on textures."
"What is height map?","A height map represents surface elevation for terrain or textures."
"What is emissive material?","An emissive material glows regardless of lighting."
"What is shader keyword?","Shader keywords enable or disable shader features."
"What is post-exposure?","Post-exposure adjusts scene brightness after rendering."
"What is render queue?","Render queue controls the drawing order of materials."
"What is a compute shader?","A compute shader performs parallel calculations on the GPU."
"What is GPU instancing?","GPU instancing optimizes rendering of many identical objects."
"What is occlusion probe?","Occlusion probes help with dynamic object occlusion in baked lighting."
"What is skinned mesh renderer?","It renders animated characters using bone-based deformation."
"What is blend tree?","A blend tree blends multiple animations based on input parameters."
"What is animator override controller?","It allows replacing animations inside an existing controller."
"What is static batching?","Static batching optimizes rendering of non-moving objects."
"What is dynamic batching?","Dynamic batching groups small moving objects for fewer draw calls."
"What is a draw call?","A draw call is a request to the GPU to render an object."
"What is GPU bottleneck?","A GPU bottleneck occurs when the GPU can't process graphics fast enough."
"What is CPU bottleneck?","A CPU bottleneck happens when the CPU cannot process logic fast enough."
"What is baking?","Baking precomputes lighting or effects for performance."
"What is render target?","A render target is a texture the GPU renders into instead of the screen."
